stratum,file,page,stage,detail
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,100,V5_span_too_short,14
table,circular_air_safety_2023_01_flight_data_analysis.pdf,3,V5_span_too_short,22
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,78,V5_span_over_cap,161
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,224,V5_span_too_short,32
table,circular_flight_crew_2025_01_medical.pdf,4,V5_span_too_short,23
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,137,V1_unparseable,"{
""question"": ""According to CAR-66 Issue III Rev 2, what is the maintenance requirement code for the '62 Rotors' task un"
table,car_s2_e_car145_maintenance_org_2025.pdf,11,V7_no_fit_armB,"‘Large Aircraft’ 
means an aircraft, classified as an aeroplane with a maximum take-
off mass of more than 5700 kg"
table,circular_cabin_safety_2025_01_training.pdf,11,V5_span_over_cap,126
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,159,V6_no_fit_armA,"B1.1 

None 

16. 

12. 

12, 16. 

Non
e 

16. 

12. 

12, 16. 
4, 5, 
13,14 
4, 5, 
13SQ, 
14SQ 

16. 

12L. 

12L. 
8"
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,169,V5_span_too_short,24
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,114,V5_span_too_short,12
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,228,V6_no_fit_armA,"1 
05 Time limits /maintenance 
checks 
Perform (assist) in A-Check"
table,icao_doc9859_safety_management_manual.pdf,47,V5_span_over_cap,128
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,167,V5_span_too_short,27
table,icao_doc9859_safety_management_manual.pdf,61,V5_span_too_short,35
table,car_s2_f_p14_microlight_aircraft.pdf,32,V5_span_too_short,28
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,170,V5_span_too_short,34
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,197,V5_span_too_short,14
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,230,V5_span_too_short,38
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,173,V5_span_too_short,13
table,car_s2_i_p5_flight_data_recorders.pdf,30,V5_span_over_cap,274
table,car_s2_e_car145_maintenance_org_2025.pdf,156,V5_span_too_short,21
table,circular_air_safety_2023_01_flight_data_analysis.pdf,18,V5_span_too_short,19
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,194,V6_no_fit_armA,"7L-Airframe general mechanical and electrical
systems’ 
60 
75"
table,car_s2_i_p5_flight_data_recorders.pdf,27,V5_span_too_short,33
table,car_s2_e_car145_maintenance_org_2025.pdf,130,V5_span_too_short,34
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,158,V5_span_too_short,22
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,36,V5_span_over_cap,124
table,car_s2_l_car66_maintenance_engineer_licensing.pdf,196,V5_span_too_short,33
