question_id,source_file,page_number,gold_in_table_chunk,gold_span,verdict,n_tables,best_row_cov,best_row_idx,pair_row_cov,best_row_text,pair_row_text,table_is_real
T002,icao_doc9859_safety_management_manual.pdf,103,True,Where action is to be taken by a regulatory authority to  / maintain or improve safety.  / CAA,same_row,1,1.0,3,1.0,Where action is to be taken by a regulatory authority to maintain or improve safety. | CAA,Where disclosure or use of safety data or safety information is sought by a member of the public pursuant to right-to-know laws5. | Government department or administrative body,True
T005,car_s2_i_p5_flight_data_recorders.pdf,24,True,29* / Angle of attack  /  / Full range  / 0.5  / As installed  / 0.3 % of full  / range,same_row,1,1.0,5,1.0,29* | Angle of attack |  | Full range | 0.5 | As installed | 0.3 % of full range,"35* | Additional engine parameters (EPR, N1, indicated vibration level, N2, EGT, fuel flow, fuel cut-off lever position, N3, engine fuel metering valve position) | Engine fuel metering valve position: Application for type certification is submitted on or after 1 January 2023 | As installed | Each en",True
T007,circular_cabin_safety_2025_01_training.pdf,5,True,"OB  / 6.2  / Monitors  / and  / assesses  / the  / general  / environment, state of the aircraft and cabin systems",same_row,1,1.0,2,1.0,"Competency 6: SAW Situation awareness and management of information | Perceives, comprehends and manages information and anticipates its effect on the operation. | OB 6.1 Monitors and assesses passenger and crew behavior OB 6.2 Monitors and assesses the general environment, state of the aircraft and","Passenger management | management techniques | OB 4.2 Identifies and manages conflict and disagreements between passengers OB 4.3 Demonstrates conflict resolution techniques OB 4.4 Informs and monitors passengers for compliance with operator policies, procedures and regulations OB 4.5 Uses effective",True
T008,car_s2_l_car66_maintenance_engineer_licensing.pdf,232,True,134  / 27 Flight controls  / Perform slat operational test,same_row,1,1.0,2,1.0,134 | 27 Flight controls | Perform slat operational test | X | X,142 | 27 Flight controls | Perform control column operational test | X | X,True
T011,icao_doc9859_safety_management_manual.pdf,54,True,outcome-oriented  / State  / Reduce the annual number of safety events in sector X.,same_row,1,1.0,3,1.0,outcome-oriented | State | Reduce the annual number of safety events in sector X.,outcome-oriented | service provider | Reduce rate of adverse apron safety events. (high-level) or Reduce the annual number of adverse apron safety events from the previous year.,True
T014,icao_environment_report.pdf,223,True,C.05 / Work on the ICAO CORSIA CO2 Estimation and  / Reporting Tool (CERT),same_row,1,1.0,4,1.0,C.05 | Work on the ICAO CORSIA CO2 Estimation and Reporting Tool (CERT),"C.02 | Development of further material on monitoring, reporting and verification (MRV) in CORSIA",True
T015,car_s2_i_p5_flight_data_recorders.pdf,36,True,19  / Free power turbine  / speed (Nf)(*)  / 0-150%  / Each engine  / each second  / As installed  / 0.2% of  / full range,same_row,1,1.0,3,1.0,19 | Free power turbine speed (Nf)(*) | 0-150% | Each engine each second | As installed | 0.2% of full range | * Only for turbine- engined helicopters,18 | Engine gas generator speed (Ng) (*) | 0-150% | Each engine each second | As installed | 0.2% of full range | * Only for turbine- engined helicopters,True
T017,icao_gasp_global_safety_plan.pdf,45,True,"5.2  / By 2027, all States to publish an updated  / national aviation safety plan (NASP)",same_row,1,1.0,4,1.0," | 5.2 | By 2027, all States to publish an updated national aviation safety plan (NASP), taking into consideration the 2026–2028 edition of the GASP and their corresponding RASP | – Number of States that published an updated NASP – Number of NASPs developed in consultation with industry – Number of ","Goal 5: Strengthen aviation safety planning | 5.1 | By 2026, all regions to publish an updated regional aviation safety plan (RASP), taking into consideration the 2026–2028 edition of the GASP | – Number of regions having published an updated RASP – Number of RASPs developed in consultation with ind",True
T019,circular_air_nav_2024_01_installation.pdf,4,True,RVR Instruments  /   / Once in six months and prior  / to onset of FOG season,same_row,1,1.0,6,1.0,RVR Instruments | Once in six months and prior to onset of FOG season,Anemometer and wind vane/Wind equipment | Once in six months,True
T021,icao_gasp_global_safety_plan.pdf,43,True,"3.1  / By 2026, all States to assess the level of  / implementation of their SSP",same_row,1,1.0,4,1.0,"Goal 3: Establish and manage State safety programmes (SSPs) | 3.1 | By 2026, all States to assess the level of implementation of their SSP | – Percentage of States having completed their SSP PQ self-assessment, using the ICAO online framework (OLF)","Goal 4: Strengthen collaboration at the regional and national levels to address safety issues | 4.1 | By 2026, all regions to identify States that need assistance to address safety issues | – Percentage of States in each region that need assistance to address the lack of sufficient financial resourc",True
T022,icao_environment_report.pdf,229,True,CO2 Emissions / 31 Jul / (2023  / Emissions) / 31 Jul / (2024  / Emissions),same_row,1,1.0,4,1.0,CO2 Emissions | 31 Jul (2023 Emissions) | 31 Jul (2024 Emissions) | 31 Jul (2025 Emissions) | 31 Jul (2026 Emissions) | 31 Jul (2027 Emissions) | 31 Jul (2028 Emissions),CORSIA Eligible Fuels* | 31 Jul (2023 CEF) | 31 Jul (2024 CEF) | 31 Jul (2025 CEF) | 31 Jul (2024-2026 CEF) | 31 Jul (2027 CEF) | 31 Jul (2028 CEF),True
T023,icao_doc9859_safety_management_manual.pdf,74,True,"Laser emission reporting  / Doc 9815, Manual on Laser Emitters and  / Flight Safety  / State  / 2003",same_row,1,1.0,9,1.0,"Laser emission reporting | Doc 9815, Manual on Laser Emitters and Flight Safety | State | 2003","Air traffic incident reporting | PANS-ATM (Doc 4444), Procedures for Air Navigation Services — Air Traffic Management | State and service provider | 1970",True
T024,icao_doc9859_safety_management_manual.pdf,36,True,"Remote  / Unlikely to occur, but possible (has occurred rarely)  / 3",same_row,1,1.0,3,1.0,"Remote | Unlikely to occur, but possible (has occurred rarely) | 3",Frequent | Likely to occur many times (has occurred frequently) | 5,True
